tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
98,Tectona_grandis,30,36.9,69.2,21.0,15.0,19.0,11.5,11.2,7.3,7.5,0.004185929499999999,0.39473684210526316,0.1069544655,8.367669666666668,5.064642166666667,2597.8751244853056,4.117674419743295
99,Tectona_grandis,30,30.2,51.8,21.0,15.0,21.0,11.3,10.0,7.9,10.7,0.0049023055,0.5095238095238095,0.071640742,8.291738,4.461744733333334,1610.384610879379,5.511454175986434
100,Tectona_grandis,30,36.6,42.0,22.0,15.0,23.0,7.5,7.199999999999999,10.5,15.5,0.0086601375,0.6739130434782609,0.10522243800000002,8.732141666666667,2.8474375000000003,1583.090842295973,3.6081499397812213
101,Nauclea_diderrichii,44,58.6951,70.0,50.0,22.5,31.8,18.8,18.5,11.875,13.0,0.01107677734375,0.40880503144654085,0.2706137647129855,24.354427499999996,14.398214999999999,3191.391191454527,2.8300943997149517
102,Nauclea_diderrichii,44,29.28071,40.5,25.0,17.5,21.8,15.3,15.0,9.165,6.5,0.006597982023749998,0.2981651376146789,0.06734562628007705,9.018587333333333,6.329559000000001,949.0054355119402,6.14288840297044
103,Nauclea_diderrichii,44,40.73838,60.0,30.0,20.0,28.8,22.8,22.5,4.68,6.0,0.0017204335199999996,0.20833333333333331,0.1303628057746666,15.081599999999998,11.9396,1922.4198296685497,4.016994445270146
104,Nauclea_diderrichii,44,42.5,60.0,40.0,30.0,41.2,16.2,15.900000000000002,10.185,25.0,0.00814832337375,0.6067961165048543,0.1418809375,26.968833333333333,10.604249999999999,2003.5130173955226,4.613610149942329
105,Nauclea_diderrichii,44,35.00955,48.5,30.0,20.0,43.0,24.0,23.7,7.11,19.0,0.003970867455,0.4418604651162791,0.09627626783895636,21.22290083333333,11.845339999999998,1347.159261436235,5.126453739969605
106,Nauclea_diderrichii,44,34.69128,41.0,30.0,17.5,28.0,20.5,20.2,6.05,7.5,0.002875126375,0.26785714285714285,0.0945337395264163,13.08643,9.581136249999998,1133.2899384346651,4.943975583123932
107,Nauclea_diderrichii,44,33.09994,47.0,27.5,20.5,25.3,21.3,21.0,2.5,4.0,0.0004909375,0.15810276679841898,0.08605985349968276,11.758280416666667,9.899263750000001,1236.8807068033143,5.400359723693695
108,Nauclea_diderrichii,44,40.43838,60.0,29.0,20.0,27.8,21.8,21.5,5.68,6.0,0.00253421152,0.2158273381294964,0.12844987542526665,14.266774666666665,11.187614666666665,1908.601548405749,3.9952808956355432
109,Nauclea_diderrichii,44,47.6951,70.0,40.0,22.5,30.8,18.8,18.5,11.875,12.0,0.01107677734375,0.38961038961038963,0.17868731240298547,20.362778333333335,12.429228333333334,2606.2437618844147,3.699922270785806
110,Nauclea_diderrichii,44,21.96053,25.0,17.5,10.0,22.0,16.5,16.2,3.835,5.5,0.00115525252375,0.25,0.037881906157544686,6.048349999999999,4.536262499999999,447.55023604391926,7.257422550402602
111,Nauclea_diderrichii,44,40.5,55.0,30.0,17.5,28.7,19.7,19.4,9.39,9.0,0.006925918455,0.31358885017421606,0.1288416375,14.465637083333334,9.929374583333333,1755.8161526868446,3.912005283747397
